Country,COWAlpha,COW,WorldBank,Amnesty.1995,StateDept.1995
Malaysia,MAL,820,MYS,3,2
Singapore,SIN,830,SGP,2,1
Brunei,BRU,835,BRN,,2
Philippines,PHI,840,PHL,3,4
Indonesia,INS,850,IDN,4,4
Australia,AUL,900,AUS,1,1
Papua New Guinea,PNG,910,PNG,3,3
New Zealand,NEW,920,NZL,,1
Vanuatu,VAN,935,VUT,,1
Solomon Islands,SOL,940,SLB,,1
Fiji,FIJ,950,FJI,,1
Samoa,WSM,990,WSM,,1
